S07-T01 VALID_RELEASE_CHAIN EXPECTED=PASS ACTUAL=PASS REASON=PASS
S07-T02 TAMPERED_ARTIFACT EXPECTED=FAIL ACTUAL=FAIL REASON=RELEASE_CHAIN_FAIL
S07-T03 TAMPERED_MANIFEST EXPECTED=FAIL ACTUAL=FAIL REASON=RELEASE_CHAIN_FAIL
S07-T04 TAMPERED_SIGNATURE EXPECTED=FAIL ACTUAL=FAIL REASON=RELEASE_CHAIN_FAIL
S07-T05 WRONG_UNTRUSTED_KEY EXPECTED=FAIL ACTUAL=FAIL REASON=RELEASE_CHAIN_FAIL
S07-T06 MISSING_PROVENANCE EXPECTED=FAIL ACTUAL=FAIL REASON=RELEASE_CHAIN_FAIL
S07-T07 MISSING_SBOM EXPECTED=FAIL ACTUAL=FAIL REASON=RELEASE_CHAIN_FAIL
S07-T08 MISSING_M1_SEAL EXPECTED=FAIL ACTUAL=FAIL REASON=RELEASE_CHAIN_FAIL
S07-T09 MALFORMED_MANIFEST EXPECTED=FAIL ACTUAL=FAIL REASON=MANIFEST_REJECTED
S07-T10 REPLAY_RELEASE_ID_MISMATCH EXPECTED=FAIL ACTUAL=FAIL REASON=MANIFEST_REJECTED
S07-T11 EXPIRED_SIGNING_SUBKEY EXPECTED=FAIL ACTUAL=FAIL REASON=RELEASE_CHAIN_FAIL
S07-T12 REVOKED_RELEASE_KEY EXPECTED=FAIL ACTUAL=FAIL REASON=RELEASE_CHAIN_FAIL
S07-T13 MISSING_SIGNATURE EXPECTED=FAIL ACTUAL=FAIL REASON=RELEASE_CHAIN_FAIL
S07-T14 MISSING_TRUSTED_KEYRING EXPECTED=FAIL ACTUAL=FAIL REASON=RELEASE_CHAIN_FAIL
S07-T15 MANIFEST_SCHEMA_DOWNGRADE EXPECTED=FAIL ACTUAL=FAIL REASON=MANIFEST_REJECTED
S07-T16 SBOM_PATH_TRAVERSAL EXPECTED=FAIL ACTUAL=FAIL REASON=RELEASE_CHAIN_FAIL
